0	9	11	9
1	9	12	10
2	16	17	9
3	9	11	10
4	8	10	9
5	8	11	9
6	8	11	9
7	8	10	9
8	8	10	9
9	8	10	10
10	8	11	10
11	8	10	9
12	8	11	10
13	8	10	9
14	8	10	9
15	8	11	10
16	8	11	10
17	8	11	10
18	8	11	10
19	8	11	10
20	23	26	10
21	16	17	10
22	26	28	10
23	21	24	5
24	10	10	3
25	5	6	3
26	6	7	5
27	7	9	5
28	5	6	4
29	6	8	5
30	8	10	6
31	8	11	7
32	13	15	9
33	13	15	11
34	12	13	8
35	19	20	8
36	13	15	9
37	17	18	11
38	15	16	10
39	15	16	10
40	15	16	12
41	15	16	11
42	16	17	11
43	14	16	11
44	14	16	11
45	14	15	11
46	13	14	10
47	14	15	11
48	14	14	10
49	12	13	9
50	16	16	10
51	13	14	11
52	16	16	11
53	18	18	10
54	14	15	10
55	12	14	10
56	14	15	9
57	15	16	10
58	15	16	10
59	14	15	10
60	13	14	10
61	18	19	11
62	13	14	10
63	13	14	10
64	18	19	10
65	14	15	9
66	12	13	9
67	13	14	10
68	15	15	8
69	13	14	9
70	16	16	11
71	26	26	4
72	20	21	15
73	18	20	13
74	18	18	12
75	22	23	9
76	19	19	10
77	14	16	8
78	31	32	10
79	79	114	23
80	79	93	15
81	29	31	17
82	15	17	10
83	20	22	13
84	19	22	15
85	16	19	16
86	17	21	16
87	18	21	15
88	17	21	15
89	16	18	15
90	15	15	12
91	11	15	10
92	9	12	10
93	10	12	10
94	10	11	10
95	10	12	10
96	10	11	10
96	10	12	3
