0	11	14	10
1	10	11	11
2	11	13	11
3	11	12	10
4	10	12	10
5	10	12	10
6	10	11	10
7	10	11	10
8	9	11	10
9	11	13	11
10	9	13	10
11	11	12	11
12	11	12	10
13	11	12	10
14	10	11	10
15	12	12	11
16	11	12	11
17	13	14	11
18	11	12	11
19	15	17	11
20	13	14	11
21	11	12	9
22	12	12	10
23	12	12	10
24	11	11	10
25	11	11	10
26	11	11	11
27	11	11	10
28	11	11	10
29	13	13	11
30	13	13	10
31	14	14	6
32	26	27	5
33	11	12	2
34	8	8	2
35	7	8	3
36	6	8	3
37	10	12	3
38	13	14	5
39	12	15	7
40	14	17	6
41	17	20	7
42	17	21	8
43	11	14	9
44	15	19	9
45	16	18	8
46	21	23	7
47	31	32	9
48	32	33	16
49	45	50	10
50	36	47	8
51	31	36	10
52	26	33	7
53	39	43	8
54	35	41	10
55	38	42	11
56	56	71	10
57	36	44	11
58	33	40	10
59	39	44	11
60	47	54	11
61	47	53	10
62	40	52	10
63	53	54	14
64	44	49	10
65	45	48	9
66	38	45	9
67	49	55	11
68	45	58	9
69	57	61	13
70	40	47	12
71	45	52	11
72	38	45	13
73	29	30	15
74	25	26	13
75	27	28	13
76	27	28	10
77	22	23	14
78	20	21	13
79	19	20	11
80	17	19	11
81	19	20	10
82	51	52	20
83	28	32	19
84	24	24	15
85	20	25	18
86	15	19	14
87	14	18	13
88	15	19	14
89	12	16	12
90	9	13	10
91	11	16	11
92	14	18	14
93	16	20	17
94	17	18	15
95	14	15	12
96	12	15	9
97	12	12	9
