0	9	11
1	10	11
2	7	10
3	7	11
4	8	11
5	7	11
6	12	13
7	8	11
8	8	10
9	8	10
10	8	11
11	10	10
12	11	11
13	8	11
14	20	22
15	10	12
16	11	12
17	32	33
18	8	11
19	6	6
20	6	7
21	7	8
22	8	10
23	9	10
24	9	10
25	9	9
26	8	8
27	10	10
28	10	14
29	17	19
30	18	18
31	15	16
32	12	14
33	14	15
34	15	16
35	12	15
36	14	15
37	14	16
38	15	17
39	15	16
40	13	15
41	14	17
42	15	18
43	15	16
44	16	17
45	16	16
46	11	13
47	13	14
48	12	15
49	15	16
50	12	14
51	13	15
52	12	15
53	12	13
54	11	14
55	12	14
56	11	13
57	11	13
58	19	22
59	29	35
60	23	28
61	22	23
62	14	15
63	21	22
64	24	27
65	19	19
66	19	20
67	24	29
68	19	22
69	23	30
70	79	82
71	50	53
72	40	49
73	36	40
74	27	27
75	20	22
76	25	26
77	16	17
78	14	14
79	17	17
80	21	21
81	21	24
82	12	16
83	13	13
84	11	11
85	9	10
86	13	14
87	22	22
88	12	15
89	16	16
90	16	16
91	11	14
92	13	14
93	11	12
94	9	11
95	9	11
96	11	12
97	15	15
98	11	13
99	14	17
100	12	13
101	18	20
